file_name,cell,file_num,intensity
H21052502_0009.abf,H21052502,9,0.0143
H21052502_0010.abf,H21052502,10,0.107
H21052502_0011.abf,H21052502,11,0.0296
H21052502_0012.abf,H21052502,12,0.0296
H21052502_0013.abf,H21052502,13,0.076
H21052502_0014.abf,H21052502,14,0.0143
H21052502_0015.abf,H21052502,15,0.107
H21052601_0010.abf,H21052601,10,0.079
H21052601_0011.abf,H21052601,11,0.11
H21052601_0012.abf,H21052601,12,0.015
H21052601_0013.abf,H21052601,13,0.0086
H21052601_0014.abf,H21052601,14,0.0067
H21052701_0002.abf,H21052701,2,0.079
H21052701_0003.abf,H21052701,3,0.0086
H21052701_0004.abf,H21052701,4,0.03
H21052701_0005.abf,H21052701,5,0.06
H21052705_0002.abf,H21052705,2,0.079
H21052705_0003.abf,H21052705,3,0.11
H21052705_0004.abf,H21052705,4,0.0086
H21052705_0005.abf,H21052705,5,0.03
H21052705_0006.abf,H21052705,6,0.06
H21052705_0007.abf,H21052705,7,0.0067
H21052706_0002.abf,H21052706,2,0.076
H21052706_0003.abf,H21052706,3,0.008
H21052706_0004.abf,H21052706,4,0.0007
H21052706_0005.abf,H21052706,5,0.0067
H21052708_0003.abf,H21052708,3,0.076
H21052708_0004.abf,H21052708,4,0.008
H21052708_0005.abf,H21052708,5,0.0007
H21052708_0006.abf,H21052708,6,0.0067
H21052708_0007.abf,H21052708,7,0.0067
H21052708_0008.abf,H21052708,8,0.0146
H21052708_0009.abf,H21052708,9,0.03
H21052709_0002.abf,H21052709,2,0.076
H21052709_0003.abf,H21052709,3,0.0007
H21052709_0004.abf,H21052709,4,0.008
H21052709_0006.abf,H21052709,6,0.0067
H21052709_0007.abf,H21052709,7,0.0146
H21060901_0002.abf,H21060901,2,0.967
H21060901_0007.abf,H21060901,7,0.23
H21060901_0008.abf,H21060901,8,0.106
H21060901_0009.abf,H21060901,9,0.012
H21060901_0010.abf,H21060901,10,1.3
H21060901_0011.abf,H21060901,11,1.74
H21060901_0012.abf,H21060901,12,2.68
H21060901_0013.abf,H21060901,13,2.68
H21060901_0014.abf,H21060901,14,5.6
H21060902_0001.abf,H21060902,1,0.967
H21060902_0002.abf,H21060902,2,0.135
H21060902_0003.abf,H21060902,3,0.48
H21060902_0004.abf,H21060902,4,0.23
H21060902_0005.abf,H21060902,5,0.106
H21060902_0006.abf,H21060902,6,0.012
H21060902_0007.abf,H21060902,7,0.079
H21060902_0008.abf,H21060902,8,0.0146
H21060903_0003.abf,H21060903,3,0.967
H21060903_0004.abf,H21060903,4,0.23
